offer_accepted,mailer_type,average_balance,household_size,credit_cards_held,bank_accounts_open,own_your_home,homes_owned,income_level,credit_rating,profiles
No,Postcard,1165.75,1,2,1,No,1,Low,High,"Non classifiable"
No,Postcard,1034.75,6,2,1,Yes,1,High,Low,"Non classifiable"
No,Postcard,155.25,2,1,1,No,1,Medium,High,"Non classifiable"
No,Letter,987.25,3,1,1,No,1,Low,High,"Non classifiable"
Yes,Postcard,857.00,3,3,1,No,1,High,Low,"Non classifiable"
No,Letter,961.50,4,1,3,Yes,1,High,Low,"Non classifiable"
Yes,Letter,1054.00,2,1,3,Yes,2,High,Low,"Non classifiable"
No,Letter,318.25,5,2,1,Yes,1,Medium,High,"Non classifiable"
No,Postcard,924.75,3,2,1,Yes,1,High,Low,"Non classifiable"
No,Postcard,1232.00,3,2,2,Yes,1,High,Low,"Non classifiable"
No,Letter,1092.75,3,1,1,No,1,High,Low,"Non classifiable"
No,Letter,752.75,3,2,1,No,1,High,Low,"Non classifiable"
No,Letter,1112.50,5,2,1,Yes,1,High,Low,"Non classifiable"
No,Postcard,1818.00,5,1,1,Yes,1,Low,Medium,"Non classifiable"
No,Postcard,1306.50,2,2,1,No,1,Low,High,"Non classifiable"
No,Postcard,661.75,2,1,1,No,1,Low,High,"Non classifiable"
No,Postcard,895.25,4,1,1,Yes,1,High,Low,"Non classifiable"
No,Postcard,1178.25,5,3,1,Yes,1,Low,High,"Non classifiable"
No,Postcard,666.50,1,1,1,No,2,Low,High,"Non classifiable"
No,Postcard,662.75,3,1,1,Yes,1,High,Low,"Non classifiable"
No,Letter,779.00,3,2,2,Yes,2,Low,High,"Non classifiable"
No,Letter,117.75,2,2,1,Yes,1,Medium,High,"Non classifiable"
No,Letter,1213.00,1,1,1,Yes,1,Low,High,"Non classifiable"
No,Letter,932.75,6,2,1,Yes,1,Low,High,"Non classifiable"
No,Letter,806.25,6,2,2,No,1,Low,High,"Non classifiable"
No,Postcard,968.75,2,2,1,No,1,Low,High,"Non classifiable"
No,Postcard,926.75,5,3,1,Yes,1,Low,High,"Non classifiable"
No,Letter,599.50,4,1,2,Yes,1,Low,High,"Non classifiable"
Yes,Letter,1007.00,3,2,1,Yes,2,High,Low,"Non classifiable"
No,Postcard,926.00,4,2,1,Yes,1,Low,High,"Non classifiable"
No,Postcard,1312.50,4,2,2,Yes,1,High,Low,"Non classifiable"
No,Postcard,1262.25,3,3,1,Yes,1,Low,High,"Non classifiable"
No,Postcard,1000.75,4,2,1,Yes,1,High,Low,"Non classifiable"
No,Postcard,1172.00,4,2,1,No,1,High,Low,"Non classifiable"
No,Postcard,1768.75,3,2,2,Yes,1,Medium,Low,"Non classifiable"
No,Letter,969.25,3,1,1,Yes,1,Low,High,"Non classifiable"
No,Postcard,1030.25,4,1,1,No,1,High,Low,"Non classifiable"
No,Letter,1083.50,5,1,2,Yes,1,Low,High,"Non classifiable"
No,Letter,1056.50,4,1,1,Yes,1,High,Low,"Non classifiable"
No,Postcard,1316.25,2,2,1,Yes,1,Low,High,"Non classifiable"
No,Letter,1141.75,3,2,1,Yes,1,High,Low,"Non classifiable"
No,Postcard,950.75,2,3,1,No,1,Low,High,"Non classifiable"
No,Letter,358.75,4,2,1,Yes,1,Medium,High,"Non classifiable"
No,Letter,1024.75,2,1,1,Yes,2,Low,High,"Non classifiable"
No,Letter,299.00,3,1,1,No,2,Medium,High,"Non classifiable"
No,Postcard,1341.75,4,2,1,Yes,1,High,Low,"Non classifiable"
No,Postcard,1065.75,5,2,1,Yes,2,Low,High,"Non classifiable"
No,Letter,1095.25,2,2,1,Yes,1,High,Low,"Non classifiable"
No,Postcard,960.00,4,2,2,Yes,1,High,Low,"Non classifiable"
No,Letter,837.25,3,1,1,No,2,Low,High,"Non classifiable"
No,Postcard,924.75,4,2,2,Yes,1,High,Low,"Non classifiable"
No,Postcard,1035.50,4,1,1,Yes,1,Low,High,"Non classifiable"
No,Letter,1201.75,3,1,1,Yes,1,Low,High,"Non classifiable"
No,Postcard,263.75,1,1,1,No,1,Medium,High,"Non classifiable"
No,Letter,1133.50,3,1,2,Yes,1,High,Low,"Non classifiable"
Yes,Postcard,302.00,3,1,2,Yes,1,Medium,High,"Non classifiable"
No,Postcard,1023.50,3,1,1,No,1,High,Low,"Non classifiable"
No,Postcard,1108.25,4,2,1,Yes,2,High,Low,"Non classifiable"
No,Postcard,972.00,3,2,2,Yes,2,High,Low,"Non classifiable"
No,Postcard,1658.00,3,3,1,Yes,1,Medium,Low,"Non classifiable"
No,Letter,254.50,4,3,2,Yes,1,Medium,High,"Non classifiable"
No,Letter,253.75,4,2,2,Yes,1,High,Medium,"Non classifiable"
No,Postcard,1118.75,4,1,1,Yes,2,High,Low,"Non classifiable"
Yes,Letter,1032.00,4,1,1,Yes,1,Low,High,"Non classifiable"
No,Letter,1002.50,2,2,1,Yes,1,Low,High,"Non classifiable"
No,Letter,1233.00,4,4,1,Yes,2,Low,High,"Non classifiable"
No,Postcard,728.00,5,2,2,No,1,High,Low,"Non classifiable"
Yes,Postcard,1332.50,3,1,1,No,2,High,Low,"Non classifiable"
No,Letter,1126.50,1,1,1,Yes,1,Low,High,"Non classifiable"
No,Postcard,934.25,4,1,2,No,1,Low,High,"Non classifiable"
No,Letter,977.75,4,2,1,Yes,1,High,Low,"Non classifiable"
No,Postcard,1060.00,4,1,1,No,1,High,Low,"Non classifiable"
No,Letter,172.25,3,2,1,Yes,2,Medium,High,"Non classifiable"
No,Postcard,1049.00,3,1,2,Yes,1,Low,High,"Non classifiable"
No,Letter,1278.75,4,1,1,Yes,1,High,Low,"Non classifiable"
No,Letter,1381.25,3,1,1,No,1,Low,High,"Non classifiable"
No,Letter,1549.75,6,1,1,Yes,1,High,Low,"Non classifiable"
No,Letter,259.25,2,2,1,Yes,1,Medium,High,"Non classifiable"
No,Letter,1358.00,5,2,2,Yes,1,High,Low,"Non classifiable"
No,Postcard,1152.50,2,2,1,Yes,1,High,Low,"Non classifiable"
No,Letter,949.00,3,1,2,Yes,2,Low,High,"Non classifiable"
No,Postcard,735.25,5,3,2,No,1,High,Low,"Non classifiable"
No,Postcard,1090.00,3,1,1,Yes,1,Low,High,"Non classifiable"
No,Postcard,934.25,4,2,2,Yes,2,High,Low,"Non classifiable"
No,Letter,125.00,2,3,2,Yes,1,Medium,High,"Non classifiable"
No,Postcard,1722.00,3,1,1,Yes,1,Medium,Low,"Non classifiable"
No,Postcard,1202.00,6,2,1,No,2,High,Low,"Non classifiable"
No,Postcard,1232.25,3,3,1,No,1,Low,High,"Non classifiable"
No,Postcard,851.00,2,4,2,Yes,1,Low,High,"Non classifiable"
No,Letter,237.00,5,2,1,No,2,Medium,High,"Non classifiable"
No,Letter,1257.25,4,2,1,Yes,1,High,Low,"Non classifiable"
No,Letter,124.75,4,2,2,Yes,1,Medium,High,"Non classifiable"
No,Letter,249.25,5,3,1,Yes,1,Medium,High,"Non classifiable"
Yes,Letter,1010.75,2,2,1,Yes,1,Low,High,"Non classifiable"
No,Postcard,1200.50,4,3,2,No,1,High,Low,"Non classifiable"
No,Postcard,1249.75,3,1,1,No,1,Low,High,"Non classifiable"
No,Postcard,798.50,6,2,2,Yes,1,High,Low,"Non classifiable"
No,Letter,1046.50,2,1,2,Yes,1,High,Low,"Non classifiable"
No,Postcard,918.75,3,2,2,Yes,2,Low,High,"Non classifiable"
No,Postcard,1389.00,4,3,1,No,1,Low,High,"Non classifiable"
No,Letter,755.25,3,2,1,No,1,High,Low,"Non classifiable"
No,Letter,1204.00,3,2,1,Yes,1,Low,High,"Non classifiable"
No,Letter,1023.75,4,1,1,Yes,1,High,Low,"Non classifiable"
No,Letter,979.75,3,2,1,Yes,1,High,Low,"Non classifiable"
No,Letter,818.25,3,2,1,Yes,2,Low,High,"Non classifiable"
No,Letter,1018.00,3,1,1,Yes,1,High,Low,"Non classifiable"
No,Postcard,1065.75,2,4,1,No,1,Low,High,"Non classifiable"
No,Letter,810.00,3,1,1,No,1,Low,High,"Non classifiable"
No,Postcard,971.25,4,3,1,No,1,Low,High,"Non classifiable"
No,Postcard,205.75,2,2,1,Yes,1,High,Medium,"Non classifiable"
No,Letter,1036.25,2,2,2,No,1,Low,High,"Non classifiable"
No,Postcard,974.75,3,1,1,Yes,1,Low,High,"Non classifiable"
No,Letter,1139.25,2,1,1,Yes,1,Low,High,"Non classifiable"
No,Letter,1252.25,4,2,1,No,1,Low,High,"Non classifiable"
No,Letter,677.00,5,1,1,Yes,1,High,Low,"Non classifiable"
No,Letter,1105.75,5,1,1,Yes,1,High,Low,"Non classifiable"
No,Letter,1014.00,4,1,1,No,2,Low,High,"Non classifiable"
No,Postcard,1231.50,2,2,1,Yes,1,High,Low,"Non classifiable"
No,Postcard,1292.50,3,2,1,Yes,1,High,Low,"Non classifiable"
No,Postcard,1137.50,4,2,1,No,3,High,Low,"Non classifiable"
No,Postcard,763.50,3,1,1,Yes,1,High,Low,"Non classifiable"
No,Letter,1216.25,5,2,1,Yes,1,Low,High,"Non classifiable"
No,Letter,1156.75,4,2,1,No,1,High,Low,"Non classifiable"
Yes,Postcard,244.25,5,2,2,Yes,1,High,Medium,"Non classifiable"
No,Postcard,1029.25,1,3,1,No,2,Low,High,"Non classifiable"
No,Letter,844.00,4,2,2,Yes,1,Low,High,"Non classifiable"
No,Letter,1000.75,4,2,1,Yes,1,Low,High,"Non classifiable"
No,Letter,1550.25,3,2,1,Yes,2,Low,High,"Non classifiable"
No,Letter,842.25,4,4,1,No,1,High,Low,"Non classifiable"
No,Letter,1086.25,3,2,2,No,1,Low,High,"Non classifiable"
No,Postcard,263.25,3,2,1,No,2,High,Medium,"Non classifiable"
No,Letter,1044.50,3,2,1,No,1,Low,High,"Non classifiable"
Yes,Postcard,681.50,4,2,1,Yes,1,High,Low,"Non classifiable"
No,Letter,1275.75,6,3,1,No,1,High,Low,"Non classifiable"
No,Postcard,1008.00,3,2,1,No,1,High,Low,"Non classifiable"
No,Postcard,155.75,2,3,2,Yes,1,Medium,High,"Non classifiable"
No,Letter,758.25,5,3,1,Yes,1,Low,High,"Non classifiable"
No,Postcard,298.50,3,2,1,Yes,2,High,Medium,"Non classifiable"
No,Postcard,1250.00,3,3,1,Yes,1,Low,High,"Non classifiable"
No,Letter,995.25,3,3,1,Yes,1,Low,High,"Non classifiable"
No,Letter,918.75,6,1,1,Yes,1,Low,High,"Non classifiable"
No,Postcard,1301.25,4,2,2,Yes,1,Low,High,"Non classifiable"
No,Postcard,867.75,3,1,1,Yes,1,High,Low,"Non classifiable"
No,Letter,1099.50,4,2,1,Yes,1,Low,High,"Non classifiable"
No,Postcard,683.00,1,3,1,Yes,1,Low,High,"Non classifiable"
No,Postcard,1087.50,5,1,2,No,1,High,Low,"Non classifiable"
Yes,Postcard,992.25,4,2,3,Yes,1,High,Low,"Non classifiable"
No,Postcard,1033.50,5,1,1,Yes,1,Low,High,"Non classifiable"
No,Letter,1283.00,3,1,2,Yes,1,Low,High,"Non classifiable"
No,Postcard,973.75,2,1,1,Yes,1,High,Low,"Non classifiable"
No,Postcard,854.75,1,2,1,Yes,2,High,Low,"Non classifiable"
No,Postcard,195.50,4,2,2,Yes,1,High,Medium,"Non classifiable"
No,Postcard,379.50,2,2,2,No,2,High,Medium,"Non classifiable"
No,Letter,1039.00,5,2,1,Yes,1,Low,High,"Non classifiable"
Yes,Postcard,1207.00,3,1,1,No,1,High,Low,"Non classifiable"
No,Postcard,1051.25,3,1,1,Yes,1,Low,High,"Non classifiable"
No,Letter,1406.50,3,3,2,Yes,1,Low,High,"Non classifiable"
No,Letter,1058.75,5,2,2,No,2,Low,High,"Non classifiable"
No,Letter,1125.00,1,2,2,Yes,1,High,Low,"Non classifiable"
No,Letter,999.75,2,2,2,Yes,2,Low,High,"Non classifiable"
No,Postcard,932.75,3,2,1,Yes,1,High,Low,"Non classifiable"
No,Postcard,1021.00,4,2,1,Yes,1,High,Low,"Non classifiable"
No,Postcard,289.75,2,1,1,Yes,1,Medium,High,"Non classifiable"
No,Postcard,183.25,4,2,1,No,2,Medium,High,"Non classifiable"
No,Postcard,1248.25,4,2,1,No,1,High,Low,"Non classifiable"
No,Letter,903.00,4,2,1,Yes,1,Low,High,"Non classifiable"
No,Postcard,1214.25,2,2,1,Yes,1,Low,High,"Non classifiable"
No,Postcard,1086.50,3,2,1,Yes,1,High,Low,"Non classifiable"
No,Postcard,1057.25,2,2,1,Yes,1,Low,High,"Non classifiable"
No,Postcard,980.00,3,1,1,No,1,Low,High,"Non classifiable"
No,Postcard,1165.75,4,2,1,Yes,1,High,Low,"Non classifiable"
No,Letter,991.25,4,3,1,Yes,1,High,Low,"Non classifiable"
No,Postcard,1720.75,3,2,1,Yes,2,Low,Medium,"Non classifiable"
No,Letter,1125.75,2,1,1,Yes,1,High,Low,"Non classifiable"
No,Postcard,1222.75,2,1,2,No,1,Low,High,"Non classifiable"
No,Letter,962.50,3,1,1,Yes,2,Low,High,"Non classifiable"
No,Letter,752.50,3,2,1,No,1,High,Low,"Non classifiable"
No,Postcard,1200.75,5,4,1,Yes,1,High,Low,"Non classifiable"
No,Postcard,1162.00,4,2,1,No,2,High,Low,"Non classifiable"
No,Letter,1095.75,2,2,2,Yes,2,High,Low,"Non classifiable"
No,Letter,794.50,4,1,1,No,1,Low,High,"Non classifiable"
No,Postcard,934.00,3,1,1,Yes,1,High,Low,"Non classifiable"
No,Letter,1153.50,3,2,1,Yes,1,High,Low,"Non classifiable"
No,Letter,1010.25,4,3,1,Yes,1,Low,High,"Non classifiable"
No,Postcard,992.75,4,2,1,Yes,1,High,Low,"Non classifiable"
No,Letter,938.25,3,1,1,Yes,1,High,Low,"Non classifiable"
No,Postcard,252.00,3,2,1,Yes,1,High,Medium,"Non classifiable"
No,Postcard,1259.25,2,3,1,No,1,Low,High,"Non classifiable"
No,Postcard,965.50,3,1,1,Yes,1,Low,High,"Non classifiable"
No,Letter,1534.00,1,1,1,No,1,Low,High,"Non classifiable"
No,Letter,1205.75,3,1,1,No,1,Low,High,"Non classifiable"
No,Postcard,984.75,4,2,1,Yes,1,Low,High,"Non classifiable"
No,Letter,330.75,2,1,1,No,1,High,Medium,"Non classifiable"
No,Postcard,228.00,2,1,1,Yes,1,Medium,High,"Non classifiable"
No,Letter,1700.25,1,1,1,No,1,Medium,Low,"Non classifiable"
No,Postcard,662.00,3,1,1,Yes,1,Low,High,"Non classifiable"
No,Postcard,846.00,4,2,2,Yes,1,Low,High,"Non classifiable"
No,Letter,238.00,2,1,1,Yes,2,Medium,High,"Non classifiable"
No,Postcard,1167.50,2,3,1,Yes,1,Low,High,"Non classifiable"
No,Letter,803.00,4,2,2,Yes,2,Low,High,"Non classifiable"
No,Letter,779.25,5,2,1,No,2,High,Low,"Non classifiable"
No,Postcard,1374.50,5,1,1,Yes,2,Low,High,"Non classifiable"
No,Letter,790.00,5,2,2,Yes,2,High,Low,"Non classifiable"
No,Postcard,693.25,3,2,2,Yes,1,High,Low,"Non classifiable"
No,Letter,1429.00,3,3,1,Yes,1,High,Low,"Non classifiable"
No,Postcard,1040.25,3,4,2,Yes,1,Low,High,"Non classifiable"
No,Letter,1160.25,5,1,1,Yes,1,Low,High,"Non classifiable"
No,Postcard,1108.75,4,2,1,Yes,1,High,Low,"Non classifiable"
No,Letter,941.50,1,2,1,Yes,1,High,Low,"Non classifiable"
No,Postcard,1242.50,4,2,1,No,1,Low,High,"Non classifiable"
No,Letter,1065.50,4,2,1,Yes,1,High,Low,"Non classifiable"
No,Letter,978.25,3,2,1,Yes,1,Low,High,"Non classifiable"
Yes,Postcard,335.00,5,1,2,No,2,High,Medium,"Non classifiable"
No,Postcard,845.25,3,2,2,Yes,1,Low,High,"Non classifiable"
No,Letter,872.00,3,2,1,No,1,Low,High,"Non classifiable"
No,Letter,1591.50,3,2,1,Yes,1,High,Low,"Non classifiable"
No,Postcard,854.25,2,4,1,Yes,2,High,Low,"Non classifiable"
No,Letter,842.75,4,2,1,Yes,1,Low,High,"Non classifiable"
No,Letter,973.25,3,2,1,Yes,1,Low,High,"Non classifiable"
No,Postcard,299.75,3,4,2,No,1,Medium,High,"Non classifiable"
No,Postcard,791.75,6,1,1,Yes,1,High,Low,"Non classifiable"
No,Postcard,203.25,2,1,2,Yes,1,Medium,High,"Non classifiable"
No,Postcard,223.75,5,1,1,Yes,1,High,Medium,"Non classifiable"
No,Postcard,1154.75,3,2,1,No,1,Low,High,"Non classifiable"
No,Letter,764.50,4,1,1,No,1,Low,High,"Non classifiable"
No,Postcard,1002.25,3,1,1,Yes,2,Low,High,"Non classifiable"
No,Letter,1061.00,2,2,1,Yes,1,Low,High,"Non classifiable"
No,Postcard,1768.00,4,1,1,Yes,2,Medium,Low,"Non classifiable"
No,Letter,827.50,2,2,1,Yes,1,Low,High,"Non classifiable"
No,Postcard,905.25,4,2,1,No,1,Low,High,"Non classifiable"
No,Letter,996.25,3,3,1,Yes,1,Low,High,"Non classifiable"
No,Letter,769.25,2,2,1,Yes,1,High,Low,"Non classifiable"
No,Postcard,788.00,5,2,1,Yes,1,Low,High,"Non classifiable"
No,Letter,1467.75,4,1,2,Yes,1,High,Low,"Non classifiable"
No,Postcard,982.75,4,2,1,Yes,1,High,Low,"Non classifiable"
No,Postcard,1016.25,4,1,1,No,1,Low,High,"Non classifiable"
No,Postcard,1086.25,3,1,1,No,2,Low,High,"Non classifiable"
No,Postcard,1062.25,4,2,1,Yes,1,Low,High,"Non classifiable"
No,Postcard,755.50,1,1,1,No,1,Low,High,"Non classifiable"
No,Letter,697.25,5,3,1,No,2,Low,High,"Non classifiable"
No,Postcard,266.25,4,2,1,Yes,2,Medium,High,"Non classifiable"
No,Letter,1148.75,5,1,2,Yes,1,Low,High,"Non classifiable"
No,Letter,1284.25,4,2,1,No,2,High,Low,"Non classifiable"
No,Postcard,996.25,1,2,1,No,1,High,Low,"Non classifiable"
No,Postcard,778.25,4,3,1,Yes,1,Low,High,"Non classifiable"
No,Letter,1216.50,3,1,2,No,1,Low,High,"Non classifiable"
No,Postcard,1198.00,2,3,1,Yes,2,Low,High,"Non classifiable"
No,Letter,694.00,1,3,1,No,1,High,Low,"Non classifiable"
No,Postcard,712.00,4,2,1,Yes,1,High,Low,"Non classifiable"
No,Postcard,181.50,2,1,1,Yes,2,Medium,High,"Non classifiable"
No,Letter,622.00,3,2,1,Yes,1,High,Low,"Non classifiable"
No,Letter,843.25,4,1,1,No,1,High,Low,"Non classifiable"
No,Letter,239.00,4,1,2,No,1,Medium,High,"Non classifiable"
No,Letter,713.00,3,1,1,No,1,High,Low,"Non classifiable"
No,Letter,1061.00,4,3,1,No,2,High,Low,"Non classifiable"
No,Letter,853.75,4,2,1,Yes,2,Low,High,"Non classifiable"
No,Postcard,1074.25,4,2,1,Yes,2,Low,High,"Non classifiable"
No,Postcard,1078.25,6,2,1,Yes,2,Low,High,"Non classifiable"
No,Postcard,1640.75,1,1,1,Yes,1,Medium,Low,"Non classifiable"
No,Postcard,1087.75,3,2,1,Yes,1,High,Low,"Non classifiable"
No,Letter,1276.00,5,2,1,Yes,1,Low,High,"Non classifiable"
No,Postcard,584.25,2,2,1,No,1,High,Low,"Non classifiable"
No,Postcard,1385.50,5,3,1,Yes,2,High,Low,"Non classifiable"
No,Letter,388.25,5,2,1,Yes,1,Medium,High,"Non classifiable"
No,Postcard,1185.25,3,1,1,Yes,1,High,Low,"Non classifiable"
No,Letter,930.50,5,2,2,Yes,1,High,Low,"Non classifiable"
No,Letter,1153.00,5,1,1,Yes,1,Low,High,"Non classifiable"
No,Letter,1207.25,2,1,2,Yes,1,High,Low,"Non classifiable"
No,Postcard,1331.75,3,1,2,Yes,1,Low,High,"Non classifiable"
No,Postcard,927.75,3,1,1,Yes,1,High,Low,"Non classifiable"
No,Letter,1885.75,4,1,1,Yes,1,Medium,Low,"Non classifiable"
No,Letter,952.25,5,3,2,Yes,1,Low,High,"Non classifiable"
No,Letter,278.00,4,2,1,Yes,2,Medium,High,"Non classifiable"
No,Letter,930.50,3,1,1,No,1,Low,High,"Non classifiable"
No,Letter,1104.25,4,2,1,No,1,High,Low,"Non classifiable"
No,Letter,719.75,4,2,1,Yes,2,High,Low,"Non classifiable"
No,Postcard,776.75,3,3,2,Yes,1,Low,High,"Non classifiable"
No,Letter,890.25,4,2,1,Yes,1,High,Low,"Non classifiable"
No,Postcard,286.50,5,1,1,Yes,1,High,Medium,"Non classifiable"
No,Letter,1151.75,2,2,1,Yes,1,High,Low,"Non classifiable"
No,Letter,985.50,5,1,1,Yes,1,Low,High,"Non classifiable"
No,Postcard,1261.00,4,1,1,No,1,Low,High,"Non classifiable"
No,Postcard,252.00,1,2,1,Yes,1,Medium,High,"Non classifiable"
No,Postcard,1305.50,3,3,1,Yes,1,High,Low,"Non classifiable"
No,Postcard,127.75,4,2,1,No,2,Medium,High,"Non classifiable"
No,Postcard,288.50,3,2,1,No,1,Medium,High,"Non classifiable"
No,Postcard,956.75,4,3,1,No,1,High,Low,"Non classifiable"
No,Letter,1020.75,5,1,2,No,1,High,Low,"Non classifiable"
No,Postcard,1209.00,5,1,1,Yes,1,High,Low,"Non classifiable"
No,Letter,367.00,2,4,1,Yes,1,High,Medium,"Non classifiable"
No,Postcard,926.00,4,3,1,Yes,2,High,Low,"Non classifiable"
No,Postcard,100.00,2,4,1,Yes,1,High,Medium,"Non classifiable"
No,Postcard,1050.25,3,2,2,No,2,High,Low,"Non classifiable"
No,Postcard,1460.75,2,3,1,Yes,1,Low,High,"Non classifiable"
No,Postcard,187.25,3,1,2,No,2,Medium,High,"Non classifiable"
No,Postcard,1150.50,3,1,2,No,1,High,Low,"Non classifiable"
No,Postcard,993.25,3,1,1,Yes,2,High,Low,"Non classifiable"
No,Postcard,1207.00,2,2,1,Yes,1,Low,High,"Non classifiable"
No,Letter,943.25,5,1,1,No,1,High,Low,"Non classifiable"
No,Postcard,389.00,4,1,1,Yes,1,Medium,High,"Non classifiable"
No,Postcard,194.75,2,2,1,No,1,Medium,High,"Non classifiable"
No,Postcard,1291.00,4,4,1,Yes,1,High,Low,"Non classifiable"
No,Postcard,1144.50,3,1,1,No,2,Low,High,"Non classifiable"
No,Postcard,1196.50,4,2,1,No,1,High,Low,"Non classifiable"
No,Letter,1214.75,3,3,1,Yes,1,High,Low,"Non classifiable"
No,Letter,1179.00,4,1,1,No,1,Low,High,"Non classifiable"
No,Letter,1348.50,3,2,1,Yes,1,Low,High,"Non classifiable"
No,Letter,188.75,3,2,1,Yes,1,Medium,High,"Non classifiable"
No,Postcard,980.25,4,1,1,Yes,1,High,Low,"Non classifiable"
No,Postcard,1554.75,5,2,2,No,1,High,Low,"Non classifiable"
Yes,Letter,852.75,1,1,1,Yes,1,High,Low,"Non classifiable"
No,Postcard,1149.50,3,1,1,Yes,1,Low,High,"Non classifiable"
No,Letter,1006.00,4,2,1,Yes,2,High,Low,"Non classifiable"
No,Postcard,339.75,4,1,1,Yes,1,Medium,High,"Non classifiable"
No,Postcard,1160.75,4,1,1,Yes,1,High,Low,"Non classifiable"
No,Postcard,842.50,4,2,1,No,1,Low,High,"Non classifiable"
No,Postcard,1051.75,5,2,1,No,1,High,Low,"Non classifiable"
Yes,Postcard,1395.25,3,2,2,No,2,High,Low,"Non classifiable"
No,Letter,1781.00,3,1,1,Yes,2,Medium,Low,"Non classifiable"
No,Postcard,1043.50,5,2,1,No,1,High,Low,"Non classifiable"
No,Letter,276.00,3,1,1,Yes,2,Medium,High,"Non classifiable"
No,Letter,861.25,3,3,1,Yes,1,Low,High,"Non classifiable"
No,Postcard,1089.75,3,1,1,Yes,1,Low,High,"Non classifiable"
No,Letter,1216.25,3,1,2,Yes,1,Low,High,"Non classifiable"
No,Postcard,315.50,4,3,1,No,1,Medium,High,"Non classifiable"
No,Letter,1033.75,4,1,2,Yes,1,Low,High,"Non classifiable"
No,Letter,756.25,5,3,1,Yes,1,Low,High,"Non classifiable"
No,Postcard,759.75,5,3,1,Yes,1,Low,High,"Non classifiable"
No,Postcard,1072.00,2,1,1,No,1,Low,High,"Non classifiable"
No,Postcard,983.00,3,1,1,No,1,High,Low,"Non classifiable"
No,Postcard,1058.00,4,3,1,Yes,1,High,Low,"Non classifiable"
No,Letter,984.50,3,2,1,Yes,1,High,Low,"Non classifiable"
No,Letter,654.50,1,2,2,Yes,1,Low,High,"Non classifiable"
No,Postcard,1441.75,4,1,1,Yes,2,High,Low,"Non classifiable"
No,Postcard,589.00,2,3,2,No,1,Low,High,"Non classifiable"
Yes,Letter,1379.50,3,2,1,No,1,High,Low,"Non classifiable"
No,Postcard,1377.25,5,2,1,Yes,1,Low,High,"Non classifiable"
No,Postcard,317.00,5,1,1,No,1,High,Medium,"Non classifiable"
No,Letter,1288.00,2,3,1,Yes,1,Low,High,"Non classifiable"
Yes,Postcard,775.00,4,2,2,No,1,High,Low,"Non classifiable"
No,Letter,264.00,4,2,2,No,1,Medium,High,"Non classifiable"
No,Postcard,1095.75,2,2,1,Yes,1,Low,High,"Non classifiable"
No,Letter,706.50,2,1,2,No,2,High,Low,"Non classifiable"
No,Postcard,286.00,4,3,1,Yes,1,High,Medium,"Non classifiable"
No,Letter,887.50,5,2,1,No,1,High,Low,"Non classifiable"
No,Letter,157.75,5,2,1,Yes,1,Medium,High,"Non classifiable"
No,Postcard,1128.00,4,2,2,Yes,2,Low,High,"Non classifiable"
No,Postcard,211.50,5,2,1,Yes,1,Medium,High,"Non classifiable"
No,Letter,1341.25,5,2,1,Yes,1,High,Low,"Non classifiable"
No,Postcard,1536.50,3,2,1,Yes,1,High,Low,"Non classifiable"
No,Postcard,1431.75,2,3,1,No,2,Low,High,"Non classifiable"
No,Letter,1426.75,3,2,1,Yes,1,High,Low,"Non classifiable"
No,Postcard,985.75,3,2,1,Yes,2,Low,High,"Non classifiable"
No,Letter,62.00,3,3,1,Yes,2,High,Medium,"Non classifiable"
No,Letter,227.50,3,1,2,Yes,1,High,Medium,"Non classifiable"
No,Letter,743.75,3,3,1,No,1,Low,High,"Non classifiable"
No,Postcard,1424.75,5,3,1,No,1,High,Low,"Non classifiable"
No,Letter,1185.75,2,2,1,Yes,1,High,Low,"Non classifiable"
No,Postcard,1227.00,3,2,1,Yes,1,High,Low,"Non classifiable"
No,Letter,722.25,6,2,1,No,2,High,Low,"Non classifiable"
No,Letter,1297.75,4,2,1,Yes,1,Low,High,"Non classifiable"
No,Postcard,950.75,3,2,1,Yes,1,High,Low,"Non classifiable"
No,Postcard,296.75,4,1,1,Yes,2,Medium,High,"Non classifiable"
No,Letter,1058.50,2,1,1,Yes,1,High,Low,"Non classifiable"
No,Letter,997.50,2,2,1,Yes,1,High,Low,"Non classifiable"
No,Postcard,967.75,4,1,2,No,1,High,Low,"Non classifiable"
No,Letter,843.25,2,1,2,Yes,1,High,Low,"Non classifiable"
No,Letter,791.00,4,3,1,Yes,1,High,Low,"Non classifiable"
No,Letter,1135.00,4,3,1,No,1,Low,High,"Non classifiable"
No,Letter,926.75,5,2,1,No,1,Low,High,"Non classifiable"
No,Postcard,1169.75,5,2,1,Yes,1,High,Low,"Non classifiable"
No,Postcard,785.50,4,1,2,Yes,1,Low,High,"Non classifiable"
No,Letter,218.00,5,3,1,Yes,1,Medium,High,"Non classifiable"
No,Letter,1029.00,3,1,1,No,1,Low,High,"Non classifiable"
No,Postcard,966.50,3,3,1,Yes,1,High,Low,"Non classifiable"
No,Letter,1156.00,5,1,2,Yes,1,Low,High,"Non classifiable"
No,Postcard,957.25,5,2,1,Yes,1,High,Low,"Non classifiable"
No,Postcard,1025.00,2,1,1,Yes,1,High,Low,"Non classifiable"
No,Letter,1349.25,3,1,2,Yes,1,Low,High,"Non classifiable"
